distribution,method,mean_mean_dcor,sd_mean_dcor,mean_p95_dcor,mean_max_dcor
n,Mixed,0.29479336756646685,0.0223851897613488,0.5601628679196536,0.6826580884866741
n,PCA,0.14951177730650375,0.003912105183635558,0.18732145080832216,0.2076063586575879
n,PCA-cor,0.14950188579838553,0.003665121773822246,0.1871137843845617,0.20852915100990937
n,ZCA,0.14814062434548403,0.0034581387052102217,0.18404407137326312,0.20628572428125508
n,ZCA-cor,0.1482875517669047,0.003562319385696847,0.18467241358751252,0.20657652353413244
o,Cholesky,0.1479232716111729,0.003726604077669091,0.18451136114419495,0.20810547117044473
o,Mixed,0.2945425315480687,0.022152482381884168,0.5611987896744594,0.683176922521663
o,PCA,0.14887130447437774,0.00389053030340004,0.18488812927133272,0.205844887862456
o,PCA-cor,0.14901043342142337,0.0035694171722013505,0.18635605601642652,0.20816989766345725
o,ZCA,0.1477603601632497,0.0035056199625043065,0.1841811170933435,0.20495928411977957
o,ZCA-cor,0.14781657248359348,0.0035313822026278217,0.18414494222825464,0.20524546869321317
p,Cholesky,0.14957984142018485,0.003927722543531049,0.18781905638880647,0.20733681376958718
p,Mixed,0.29716517602520803,0.022332048934610684,0.5647578195362404,0.6840686796971014
p,PCA,0.14934089351521906,0.003287966944759176,0.18713538781217826,0.2076121259023741
p,PCA-cor,0.14969308438578913,0.003643410814781346,0.18773799584493503,0.21029636029392382
p,ZCA,0.1500781883721614,0.0038344806733750024,0.18817042327566594,0.21016980986397116
p,ZCA-cor,0.14992790480841184,0.0036887209481265004,0.18876108434073746,0.2090807213097893
q,Cholesky,0.15013613728164482,0.0038736384733197623,0.1883912883423347,0.2108226641870691
q,Mixed,0.29688624581348827,0.022176722516503215,0.5570817909841124,0.6848217756620529
q,PCA,0.1509374488676139,0.0034777691753514373,0.18782884476745754,0.2081528360490356
q,PCA-cor,0.15100390483869533,0.003750273247407131,0.18936998463138,0.21160306932095171
q,ZCA,0.15028897873376929,0.0034250217318330216,0.1869018404865434,0.20713208067547206
q,ZCA-cor,0.1503316498959481,0.0034907910645722465,0.18727437419225826,0.2074789206434002
r,Cholesky,0.1498885859340198,0.003649752199526834,0.18826082465105054,0.2105285218506846
r,Mixed,0.29634499258323604,0.021841151857441482,0.5620782437505008,0.6852322317363021
r,PCA,0.1507151029132499,0.0037045866306659467,0.18788767707308213,0.21222651324327202
r,PCA-cor,0.15076068889409305,0.003668617891204632,0.18925266225574938,0.21148684459275835
r,ZCA,0.14982184633042178,0.003883675746669849,0.18803691919870005,0.20750525215493754
r,ZCA-cor,0.1498546149557992,0.0038281605227669982,0.1881006320191132,0.20809346667968245
