distribution,seed,method,mean_dcor,sd_dcor,p95_dcor,max_dcor
g,71,PCA-cor,0.15798124025428043,0.028921090769688792,0.2050556109540793,0.23506098305483658
g,72,Mixed,0.3403307094097181,0.16586772813387599,0.6253353579919672,0.8228256651041672
g,72,ZCA,0.14399078059066597,0.020437565177814334,0.17336780979039615,0.20519171750691437
g,72,PCA,0.15149384482329162,0.018372492402729486,0.17957471794058616,0.18932700376092088
g,72,Cholesky,0.1517574934579708,0.022330214970172946,0.1904099512960667,0.196474955075398
g,72,ZCA-cor,0.14612477306952634,0.021361227097333412,0.18288250582172508,0.20477447848360944
g,72,PCA-cor,0.14858982988936908,0.02256768248269928,0.1815099463700021,0.21718621003866131
g,73,Mixed,0.3085484809102944,0.14084130899623398,0.5774291331920918,0.6071652044626995
g,73,ZCA,0.15138851101681886,0.018952257244715758,0.18788241695485608,0.19531370662513256
g,73,PCA,0.1433469424392587,0.022827305152413744,0.18200241844741313,0.20057060264538207
g,73,Cholesky,0.14979946662433885,0.025706303401683284,0.18985347686328036,0.2377892096789688
g,73,ZCA-cor,0.1508996817209812,0.020347268879365152,0.18818945907622142,0.1923875986775937
g,73,PCA-cor,0.142475643845873,0.022024855350990954,0.17661439606026422,0.20932107292512747
g,74,Mixed,0.2840075093519135,0.13629007763999576,0.5247934661787758,0.6143003784515004
g,74,ZCA,0.15861138440740166,0.02258487500982578,0.19622613667394467,0.20263280167861972
g,74,PCA,0.14699776507384363,0.0184452906324664,0.17993544702298536,0.1898816430480971
g,74,Cholesky,0.15347904069760254,0.024050991787451848,0.18746105815352485,0.22090237358153486
g,74,ZCA-cor,0.15931155480250916,0.021944123556023883,0.19654466701959353,0.206378634241341
g,74,PCA-cor,0.14984755658532584,0.024330154111874374,0.18569870798643962,0.21394759512041864
g,75,Mixed,0.2806319227082716,0.14489007394491857,0.561003187015031,0.7690000685956757
g,75,ZCA,0.14590259227320976,0.02514981469877848,0.1908715988816613,0.25611641373143296
g,75,PCA,0.1533196321514485,0.02567760248791811,0.18737853603060511,0.24574119870517372
g,75,Cholesky,0.15420864472322424,0.02353804640768194,0.19580422940593503,0.20199466206469358
g,75,ZCA-cor,0.14626471063821844,0.02394412219696017,0.18629495790536743,0.24770863693104497
g,75,PCA-cor,0.1518194439791417,0.02495236503830281,0.2010630050780052,0.2231200033284449
g,76,Mixed,0.31656069745874904,0.1461219067349658,0.6152907011962957,0.7083116960116531
g,76,ZCA,0.1482049052037038,0.024224800609472127,0.1907638141091767,0.2437561818258403
g,76,PCA,0.14288068237782153,0.024238231741014,0.19248874890067166,0.2122188372245183
g,76,Cholesky,0.14561936796819477,0.023135846195632446,0.19299181672690038,0.21000205852644446
g,76,ZCA-cor,0.14755273955899847,0.024250180910578595,0.1808396559895497,0.24424038154565086
g,76,PCA-cor,0.1485930614504687,0.022326201801695984,0.18348071697566407,0.2244023252556641
g,77,Mixed,0.2812379101031296,0.12173131560306868,0.47283361248176886,0.6703398250818083
g,77,ZCA,0.15439947642337765,0.02608329481945808,0.19976041133290434,0.24073249694027127
g,77,PCA,0.14669627349758288,0.020156427783323227,0.1768531435972595,0.20571017889646756
g,77,Cholesky,0.1507792436828862,0.024181279538706732,0.19232998305407642,0.20943987303153844
g,77,ZCA-cor,0.15401700960831644,0.024577270744472402,0.19585157586187982,0.23632019992121162
g,77,PCA-cor,0.14352363207980562,0.022453558747375382,0.17942919958102405,0.18844103652234692
g,78,Mixed,0.29431603322321703,0.15817355330605362,0.6020625075429543,0.7444383988079392
g,78,ZCA,0.1404070810510519,0.02299161515452688,0.17884831295626136,0.19767919324867952
g,78,PCA,0.14669249256068664,0.018796660128426915,0.1733124190841574,0.19633729188723403
g,78,Cholesky,0.1411558172817108,0.024060170520133883,0.18087363576819027,0.2033204660369712
g,78,ZCA-cor,0.1424427138144355,0.025285408254337515,0.1888842785382541,0.2038395292629386
g,78,PCA-cor,0.14541158837550167,0.02394427992576248,0.19037284296996151,0.22276996849275874
g,79,Mixed,0.2743786739206088,0.15212520264401894,0.6048896923875594,0.6987497627863888
g,79,ZCA,0.14532907218465577,0.027059493191984165,0.19834368875366337,0.21407564922528
g,79,PCA,0.1516682980589133,0.018686162544487406,0.1785523933424692,0.20450904252815125
g,79,Cholesky,0.15004722685646799,0.019383699172602506,0.18027403845464957,0.2150925363814509
g,79,ZCA-cor,0.1458473986962407,0.026620280729127938,0.20071095758532628,0.21238614473122663
g,79,PCA-cor,0.15190103080559458,0.022020389448511788,0.18677886938915403,0.22950385680446506
g,80,Mixed,0.3088552006621458,0.1517230445289291,0.602357623372693,0.7354441134428968
g,80,ZCA,0.14530542789091447,0.01768173798593891,0.1746217186887865,0.19119676037007755
g,80,PCA,0.1426941094189978,0.01783251243339493,0.16659078569719257,0.19495624386428306
g,80,Cholesky,0.14471206231331382,0.02090828008178483,0.1750414590622678,0.19287345212450197
g,80,ZCA-cor,0.14453623425677378,0.017759742556488423,0.17305906329884224,0.19507779725551294
g,80,PCA-cor,0.14389624099750173,0.021225481095869202,0.17838405689310222,0.20356598090244118
g,81,Mixed,0.2960467355553107,0.14047660279828392,0.5615173781675469,0.6670355936609191
g,81,ZCA,0.14048506482734105,0.01835729881751184,0.17230707481088675,0.18605108441424867
g,81,PCA,0.1445177717479862,0.02319896636099907,0.19266327375755568,0.21936777760804685
g,81,Cholesky,0.14444095829526526,0.021483352339420645,0.18024527727362513,0.20965871576544187
g,81,ZCA-cor,0.14144116777795188,0.01771488962950494,0.17253433863281348,0.1838756797288664
g,81,PCA-cor,0.1497598290606783,0.024732344770718694,0.19276681027920672,0.2234378917452558
g,82,Mixed,0.305024636921026,0.14376247796279573,0.5429823280579446,0.685124968099324
g,82,ZCA,0.145999991021068,0.01954474872195106,0.17550171768118805,0.1921855282756314
g,82,PCA,0.14552218514922333,0.02152550374142142,0.18093197550123447,0.19597285228587902
g,82,Cholesky,0.1480056197223929,0.016454582805368444,0.17466785148973843,0.18321504710827696
g,82,ZCA-cor,0.14486460678815044,0.019652360240431144,0.17214028312119767,0.19455400930181485
g,82,PCA-cor,0.14932903198187727,0.020894783036359187,0.18086012933908438,0.201702620035578
g,83,Mixed,0.30497948351184223,0.13632507638004374,0.5573564509800688,0.635834071351928
g,83,ZCA,0.15609315281366185,0.02967092410596549,0.213141623476842,0.2437799741374542
g,83,PCA,0.1480112515979821,0.020358890795591247,0.18545155092218804,0.21150411179578965
g,83,Cholesky,0.15288171085598734,0.025584145746930027,0.1932360675668417,0.21086107214010455
g,83,ZCA-cor,0.15504437603027493,0.02790589614749868,0.21014165893081097,0.22393734254486894
g,83,PCA-cor,0.15439686355738688,0.03048103146681954,0.21094615101689104,0.23656726009703435
g,84,Mixed,0.3263285911182493,0.14617081085839442,0.5776654999199837,0.5970036897927015
g,84,ZCA,0.14946839652533866,0.019257628323887534,0.18242344723455492,0.19275368310352747
g,84,PCA,0.1482727776221289,0.021545257794014474,0.18722771416940023,0.19997124008296485
g,84,Cholesky,0.14656117332518123,0.02083139964662075,0.17965808393904226,0.19697146922034534
g,84,ZCA-cor,0.14894823245833091,0.018906720698593123,0.18285566209579962,0.18752817190069307
g,84,PCA-cor,0.14516977972436937,0.021824207777778194,0.18146884933951604,0.20327644946895868
g,85,Mixed,0.3006224781932725,0.1590904563669964,0.5526030138265765,0.847690226169389
g,85,ZCA,0.14759483911499474,0.024751708857117267,0.1840208136996213,0.2215718369598666
g,85,PCA,0.1552169164719164,0.01714868043969596,0.18132278019412396,0.186187252510213
g,85,Cholesky,0.1473054466592859,0.017444271356670316,0.1748246268251672,0.1804206389170706
g,85,ZCA-cor,0.14713242203808768,0.024624187198712084,0.18189723432544241,0.22668213539089638
g,85,PCA-cor,0.15283362119601535,0.025199099133759395,0.20554672183800876,0.213654415797848
g,86,Mixed,0.2660806028477699,0.11812892702593702,0.5150522965852742,0.5574752509644207
g,86,ZCA,0.1557834531008017,0.024340557178688153,0.1951716542224206,0.205675713066803
g,86,PCA,0.14725807898644638,0.0244030734556102,0.19323585184162406,0.20685757283204764
g,86,Cholesky,0.14611974188060162,0.021204002245106775,0.18355773994053454,0.18723189293806386
g,86,ZCA-cor,0.15586567282236982,0.024548341375077828,0.19487216369099938,0.1986629221170549
g,86,PCA-cor,0.14218167023597275,0.025466866944697773,0.19743390905506503,0.2079052648345424
g,87,Mixed,0.30944027750598835,0.1718817525846286,0.704950918054021,0.8019312493351695
g,87,ZCA,0.14115866604899693,0.022732260283898662,0.18442847072454077,0.21399804479927115
g,87,PCA,0.13891237014053318,0.020660707783110414,0.17424950823019167,0.19422692069383646
g,87,Cholesky,0.14032665504593583,0.02038373927695053,0.16975210071333846,0.20758378758261692
g,87,ZCA-cor,0.1420544552026657,0.022673340791289222,0.18261998827024772,0.2127339483066677
g,87,PCA-cor,0.14618842203909255,0.01906290651284791,0.1772660723645066,0.19852772723254203
g,88,Mixed,0.3087982078411328,0.1666967590901209,0.6941570514004961,0.8629496721144793
g,88,ZCA,0.14372347301326233,0.018451096828920915,0.17053942483273285,0.19460284734269045
g,88,PCA,0.14670050194030498,0.02418200321170734,0.19402578895291459,0.2003493505894605
g,88,Cholesky,0.1489812072940546,0.02076335801261489,0.18913161145243076,0.1963008573069694
g,88,ZCA-cor,0.14281295694543317,0.019967996705705246,0.1697829685525517,0.1992398824166414
g,88,PCA-cor,0.14852563585757841,0.021643428033406083,0.1886480481772859,0.19226621665211474
g,89,Mixed,0.3033026126760303,0.150924454372651,0.597002571316028,0.7038060660991224
g,89,ZCA,0.14567389350248708,0.02428659784199428,0.18160826186735443,0.20582559453528948
g,89,PCA,0.1429184284022291,0.02751070900857835,0.19919502707926154,0.21142213396726262
g,89,Cholesky,0.14386212220112704,0.021671142813808445,0.1900955403146727,0.19796958487823957
g,89,ZCA-cor,0.14541910538654468,0.0245387818282408,0.1800109685440407,0.21348226264042572
g,89,PCA-cor,0.1427414532102461,0.01710672305439699,0.1722644912083494,0.17601951651889736
g,90,Mixed,0.31022324265973616,0.15182153666901893,0.5830340793551517,0.726824753950595
g,90,ZCA,0.14585571220373308,0.020908359530135093,0.1818708835955352,0.19323112179934387
g,90,PCA,0.14640141025385514,0.019266638152075105,0.17834417807009792,0.19124839243314634
g,90,Cholesky,0.14524035260710766,0.021413076987004193,0.1798530052556294,0.20572488614149256
g,90,ZCA-cor,0.14588188657366855,0.02025963336134699,0.1852715835937756,0.19989071995840357
g,90,PCA-cor,0.14954280987271806,0.019908334012798762,0.18304865047182184,0.19713026908832762
g,91,Mixed,0.2912785507978258,0.12797289055294728,0.4930479137134358,0.6564242678114292
g,91,ZCA,0.15394824913880137,0.02279727899473956,0.19239988254736293,0.21001125285210373
g,91,PCA,0.14825868639776166,0.027453807785889853,0.199969916337562,0.21842107167027824
g,91,Cholesky,0.1453837101724014,0.020940147158133107,0.18432524864990205,0.19380843473266252
g,91,ZCA-cor,0.15294082712460946,0.02144313704146793,0.1884503142843054,0.20212475441739336
g,91,PCA-cor,0.15355159737135837,0.02568819126579877,0.2011639382856471,0.23253146055624382
g,92,Mixed,0.2749739708761344,0.10706496320814103,0.42957465470537254,0.5765818335611376
g,92,ZCA,0.1422856238114748,0.022489477440734117,0.18302421891599205,0.2119500514643629
g,92,PCA,0.14526284058378877,0.019262506256100133,0.1806318634074315,0.21054244485883958
g,92,Cholesky,0.14532214224029583,0.022333083970706765,0.18233837359980448,0.19478044123290345
g,92,ZCA-cor,0.14185955764263478,0.0219957786436015,0.18019429517660152,0.20570348672780797
g,92,PCA-cor,0.1473185090070309,0.01955512909739169,0.18121627155846134,0.19602098904420887
g,93,Mixed,0.29352186876190584,0.135983498088167,0.5286021988506452,0.5704621272654177
g,93,ZCA,0.14806019674613,0.02741682530011999,0.20237056116535615,0.21800756908260321
g,93,PCA,0.14464256819406995,0.019618559947954896,0.18161340748095153,0.1920535142016435
g,93,Cholesky,0.14855482838173492,0.020111759264267393,0.17914675966430374,0.18118657030662474
g,93,ZCA-cor,0.1485991592081048,0.027795135107281873,0.2062366009964035,0.21192833479961207
g,93,PCA-cor,0.146911761880601,0.021085346922138,0.17963168525627288,0.19428855182003285
g,94,Mixed,0.3030995356137545,0.13402997530929947,0.5755415414158114,0.6461411518257012
g,94,ZCA,0.1517740091956991,0.024123450865614418,0.19438414619087424,0.20469553990200007
g,94,PCA,0.15166727347569392,0.026203487464639446,0.20109546887709917,0.2170453074703846
g,94,Cholesky,0.154362552499783,0.02441134566579152,0.20596985023193526,0.21134892086178841
g,94,ZCA-cor,0.15147134854369945,0.024500214724431507,0.19100836271000415,0.21540084161097822
g,94,PCA-cor,0.15736145738246146,0.02630718255703056,0.20055152625283706,0.23013303242751848
g,95,Mixed,0.2784828138472684,0.15011586700117563,0.5621172101116846,0.7007279593568344
g,95,ZCA,0.14795222846137793,0.023977861541896284,0.1961491638535961,0.19989296223406716
g,95,PCA,0.150758200944495,0.02372901626680401,0.18284048127280156,0.20242185229523918
g,95,Cholesky,0.1455662912625545,0.02549668752755958,0.1942863651667522,0.2240590122044492
g,95,ZCA-cor,0.14814180121728293,0.023867060003089045,0.19516461886676184,0.19959965471640118
g,95,PCA-cor,0.14705270107572926,0.022447717529701972,0.1864376883413549,0.18883464911072464
g,96,Mixed,0.300189170729053,0.15383776960323836,0.5890956343761268,0.6492526572888608
g,96,ZCA,0.14558884465938007,0.017232853344568737,0.17500022360436923,0.19327347981591822
g,96,PCA,0.14167040195276895,0.01918904864196784,0.1701738084223798,0.19189957608450103
g,96,Cholesky,0.14439982318448405,0.022671978436352398,0.1851558331739962,0.20772100087369005
g,96,ZCA-cor,0.14695245987146002,0.0167185230259829,0.1692702314258979,0.1795283259904369
g,96,PCA-cor,0.14285502343481954,0.021885696585410386,0.1738924280792821,0.21165439223682891
g,97,Mixed,0.2702890665507677,0.13981275521153302,0.5382855364631203,0.715162163222882
g,97,ZCA,0.1459827081331396,0.02227077076423744,0.18510615243095924,0.2223071588653453
g,97,PCA,0.14471968868464663,0.016119344898475916,0.17285226922833655,0.1867686497138082
g,97,Cholesky,0.14472882518453112,0.015619508541709251,0.1678749155406885,0.17869489666543803
g,97,ZCA-cor,0.1462353827524273,0.02362659735809926,0.1874149158811089,0.22331099430331028
g,97,PCA-cor,0.14657888440873057,0.019479723208484418,0.17928138922682363,0.2046501402473242
g,98,Mixed,0.2896621934797154,0.13122811070445847,0.5350709101957684,0.693820951254921
g,98,ZCA,0.15519256947630827,0.02709612156876169,0.20538266640179956,0.21517626205814117
g,98,PCA,0.14689745974513482,0.022609063209886808,0.19530353643969842,0.2040221455232169
g,98,Cholesky,0.15976140407079212,0.03278008556842528,0.21807019286441928,0.25162420680931635
g,98,ZCA-cor,0.15771791497196466,0.02706989324412749,0.21499402590348712,0.2263970157665026
g,98,PCA-cor,0.15196685300171467,0.023765880163703165,0.18051626368516943,0.22372461098414875
g,99,Mixed,0.32329894035880585,0.15729090835311862,0.6154393983179861,0.7711379313098743
g,99,ZCA,0.1524537560520259,0.024701483938479693,0.194078311251363,0.22762041900039487
g,99,PCA,0.15008665588926967,0.020044681454920953,0.17866750797410316,0.20225394906648528
g,99,Cholesky,0.14953454250228762,0.022353254526244138,0.1858399154783609,0.2051075172375702
g,99,ZCA-cor,0.15414479890650956,0.023801480580906798,0.1960733721155394,0.22780923548114568
g,99,PCA-cor,0.15612013539664915,0.019100989198691413,0.18802371158200348,0.19247416845793439
h,0,Mixed,0.2778270577531468,0.1379344814661024,0.5994107102291566,0.6923028906135208
h,0,ZCA,0.1417718393573698,0.0164197095176725,0.166182914292659,0.18978400470744797
h,0,PCA,0.14970950369096633,0.019051680809589418,0.1846070123245139,0.18671180509849178
h,0,Cholesky,0.14861298728796773,0.02054903426151258,0.18194414473084078,0.20012376546040275
h,0,ZCA-cor,0.1414741919142717,0.015918736827409255,0.16480720887265451,0.1810630397935323
h,0,PCA-cor,0.14642179787173368,0.016335357115724227,0.1750861851361939,0.18536502159913804
h,1,Mixed,0.2843905488664423,0.1528708167787465,0.5807319469132853,0.7108873351644684
h,1,ZCA,0.15031132087953103,0.019330063168590688,0.18208046095044564,0.1983171130884801
h,1,PCA,0.15195149518671863,0.023404596400271042,0.1857051900309505,0.2358238713483982
h,1,Cholesky,0.1428340286158995,0.021458791192323384,0.19018296585575423,0.20722005456227868
h,1,ZCA-cor,0.14981671628544607,0.020024249467748032,0.18254097612032286,0.19920930514225776
h,1,PCA-cor,0.15337093931555826,0.02150255058058711,0.1895540914987367,0.2221194015202919
h,2,Mixed,0.2775921370097665,0.13369895942472437,0.5386748368055809,0.6098220498212287
h,2,ZCA,0.14585830547454226,0.021542542071969133,0.18735851896566943,0.1941473264659197
h,2,PCA,0.1531155158926239,0.019858159090422878,0.1804736580196363,0.21637822723000139
h,2,Cholesky,0.15109102255990095,0.021353519150314606,0.18699131678575875,0.2080043042722895
h,2,ZCA-cor,0.14580684547150083,0.021677499703754106,0.18525649493456356,0.19479000160951074
h,2,PCA-cor,0.15145789797979353,0.02316107498784051,0.2015200342860391,0.21421319089443938
h,3,Mixed,0.31492531926788825,0.17033485855855818,0.5690803346839944,0.8582472918941328
h,3,ZCA,0.14738510783163944,0.021316858065013697,0.18330186303017476,0.2243168227948071
h,3,PCA,0.14264078928130022,0.022288377759794503,0.18942142411082447,0.21808444010649491
h,3,Cholesky,0.14998257535415774,0.022623693921910527,0.18331046203248025,0.2087469787974733
h,3,ZCA-cor,0.14673537287067104,0.021009022952405886,0.1786517621251026,0.22482336643050194
h,3,PCA-cor,0.14719882784096885,0.019568454621839607,0.17717475693074364,0.1945946105050194
h,4,Mixed,0.29753619510199897,0.13136463236889878,0.5493126905517635,0.7982526611198528
