distribution,method,seed,rotation,base_dcor,rotation_dcor,difference
e,ZCA,1,34,0.1386905331704406,0.13872320227760718,3.266910716656635e-05
e,ZCA,1,35,0.1386905331704406,0.14024868297709336,0.0015581498066527533
e,ZCA,1,36,0.1386905331704406,0.1331265413325308,-0.005563991837909815
e,ZCA,1,37,0.1386905331704406,0.13854487582595648,-0.00014565734448412915
e,ZCA,1,38,0.1386905331704406,0.14291546437155966,0.004224931201119053
e,ZCA,1,39,0.1386905331704406,0.13726073574788197,-0.0014297974225586374
e,ZCA,1,40,0.1386905331704406,0.1463893141242124,0.0076987809537718
e,ZCA,1,41,0.1386905331704406,0.13840459465466062,-0.00028593851577998763
e,ZCA,1,42,0.1386905331704406,0.13666882297556848,-0.0020217101948721283
e,ZCA,1,43,0.1386905331704406,0.14021609208687869,0.0015255589164380745
e,ZCA,1,44,0.1386905331704406,0.1379063551708995,-0.0007841779995411136
e,ZCA,1,45,0.1386905331704406,0.13623700538702338,-0.002453527783417231
e,ZCA,1,46,0.1386905331704406,0.14063934605378647,0.0019488128833458629
e,ZCA,1,47,0.1386905331704406,0.14265109178047133,0.003960558610030723
e,ZCA,1,48,0.1386905331704406,0.131706572672617,-0.006983960497823599
e,ZCA,1,49,0.1386905331704406,0.13498375738207646,-0.0037067757883641472
e,ZCA,1,50,0.1386905331704406,0.13190184038310876,-0.0067886927873318514
e,ZCA,1,51,0.1386905331704406,0.13772119751627712,-0.000969335654163489
e,ZCA,1,52,0.1386905331704406,0.13811968912429867,-0.0005708440461419384
e,ZCA,1,53,0.1386905331704406,0.13973569416856685,0.0010451609981262378
e,ZCA,1,54,0.1386905331704406,0.140129636343195,0.0014391031727543913
e,ZCA,1,55,0.1386905331704406,0.14079127036463215,0.002100737194191543
e,ZCA,1,56,0.1386905331704406,0.13451822515486223,-0.004172308015578385
e,ZCA,1,57,0.1386905331704406,0.13955463838618037,0.0008641052157397633
e,ZCA,1,58,0.1386905331704406,0.13589974157368098,-0.0027907915967596286
e,ZCA,1,59,0.1386905331704406,0.13720954829284696,-0.0014809848775936552
e,ZCA,1,60,0.1386905331704406,0.14167330302785147,0.0029827698574108608
e,ZCA,1,61,0.1386905331704406,0.14744272289419744,0.008752189723756826
e,ZCA,1,62,0.1386905331704406,0.132157877900422,-0.006532655270018617
e,ZCA,1,63,0.1386905331704406,0.1411459935887589,0.0024554604183182893
e,ZCA,1,64,0.1386905331704406,0.13348919905395265,-0.00520133411648796
e,ZCA,1,65,0.1386905331704406,0.14322581243762814,0.004535279267187525
e,ZCA,1,66,0.1386905331704406,0.13956898270655127,0.0008784495361106592
e,ZCA,1,67,0.1386905331704406,0.12843766177912683,-0.010252871391313784
e,ZCA,1,68,0.1386905331704406,0.13246700031505151,-0.006223532855389097
e,ZCA,1,69,0.1386905331704406,0.13385844691969612,-0.004832086250744494
e,ZCA,1,70,0.1386905331704406,0.12444422416469657,-0.014246309005744043
e,ZCA,1,71,0.1386905331704406,0.13371615494984265,-0.004974378220597958
e,ZCA,1,72,0.1386905331704406,0.13429259943886374,-0.004397933731576875
e,ZCA,1,73,0.1386905331704406,0.13173012212432592,-0.006960411046114695
e,ZCA,1,74,0.1386905331704406,0.12900864810821622,-0.009681885062224393
e,ZCA,1,75,0.1386905331704406,0.1355116355193528,-0.0031788976510878086
e,ZCA,1,76,0.1386905331704406,0.14446323799161892,0.005772704821178309
e,ZCA,1,77,0.1386905331704406,0.13998245416864696,0.0012919209982063529
e,ZCA,1,78,0.1386905331704406,0.13186775303088807,-0.006822780139552537
e,ZCA,1,79,0.1386905331704406,0.12829028141636944,-0.010400251754071166
e,ZCA,1,80,0.1386905331704406,0.1332752636021998,-0.005415269568240816
e,ZCA,1,81,0.1386905331704406,0.13526225092184865,-0.0034282822485919573
e,ZCA,1,82,0.1386905331704406,0.14909884619887653,0.010408313028435923
e,ZCA,1,83,0.1386905331704406,0.13052206445087589,-0.008168468719564725
e,ZCA,1,84,0.1386905331704406,0.12910310151519927,-0.00958743165524134
e,ZCA,1,85,0.1386905331704406,0.12883430377718005,-0.009856229393260557
e,ZCA,1,86,0.1386905331704406,0.13622022340786571,-0.002470309762574896
